Category,Sample Question
Course Planning,Can I take classes out of sequence if I feel ready?
Course Planning,How do I know if a course is offered every semester?
Course Planning,Can I audit a class without receiving credit?
Course Planning,What’s the difference between credit and no-credit grading?
Course Planning,What’s the deadline to add or swap a class after the semester starts?
Course Planning,What is a capstone course and when should I take it?
Course Planning,Do any of my required classes have group projects?
Course Planning,Can I take classes at another Penn State campus?
Course Planning,What happens if I miss the registration window?
Course Planning,Can I register for a class that overlaps with another by a few minutes?
Course Planning,Is it okay to take asynchronous and synchronous classes together?
Course Planning,What’s the best mix of gen eds and major classes each semester?
Course Planning,Can I take courses pass/fail if I don’t need them for my major?
Course Planning,What’s a recitation section and do I have to attend it?
Course Planning,Can I substitute one course for another if they’re similar?
Course Planning,How do I know if a course satisfies multiple requirements?
Course Planning,Can I take a class outside my college or department?
Course Planning,Are hybrid courses a good choice for first-years?
Course Planning,How do I choose between different sections of the same class?
Course Planning,Is there a recommended order to take my core classes?
Course Planning,What happens if I take two gen eds that cover similar topics?
Course Planning,Are there any registration holds I should check before enrolling?
Course Planning,Can I register for more than 18 credits?
Course Planning,How do I request a course override or prerequisite waiver?
Course Planning,What should I do if I want to repeat a class for a better grade?
Course Planning,Is it possible to take summer courses at another university?
Course Planning,Can I test out of any courses using AP or CLEP credits?
Course Planning,Do classes from World Campus count the same as in-person ones?
Course Planning,What does “waitlist” mean and how likely am I to get into the class?
Course Planning,Can I take graduate-level electives as an undergrad?
General Academics,How do I get an unofficial transcript?
General Academics,How do I calculate my GPA manually?
General Academics,What is FERPA and how does it affect my academic records?
General Academics,Can I appeal an academic policy or decision?
General Academics,Are there writing-intensive courses required for graduation?
General Academics,How do I qualify for the Dean’s List?
General Academics,What is the process to declare academic forgiveness?
General Academics,How do I find out who my academic advisor is?
General Academics,What happens if I miss a final exam?
General Academics,How do I find courses taught by a specific professor?
General Academics,What happens if I have a time conflict during finals?
General Academics,Can I petition for a course substitution?
General Academics,How are lab grades calculated in science courses?
General Academics,How are online exams proctored?
General Academics,What is the difference between a major GPA and overall GPA?
General Academics,What does it mean to graduate with honors?
General Academics,Can I get a second opinion on a grade dispute?
General Academics,How do I access academic forms and petitions?
General Academics,Do I need to take a language to graduate?
General Academics,How can I check my degree progress?
General Academics,What’s the difference between GPA and cumulative GPA?
General Academics,How do I know if I'm eligible for honors?
General Academics,What’s the policy for withdrawing from a class?
General Academics,When do I get my final grades and how are they calculated?
General Academics,What are academic warning and academic suspension?
General Academics,Are online classes viewed differently by employers?
General Academics,How do I register for an independent study course?
General Academics,Can I take graduate-level courses as an undergrad?
General Academics,How do I appeal a final grade?
General Academics,Can I enroll in classes while on academic probation?
Advising Process,What’s the best time of year to meet with my advisor?
Advising Process,How do I reschedule a missed advising appointment?
Advising Process,Can I email quick questions instead of scheduling a meeting?
Advising Process,How do I get a second opinion from a different advisor?
Advising Process,What should I bring to an advising session?
Advising Process,What if I disagree with my advisor’s recommendation?
Advising Process,Can I change my assigned advisor?
Advising Process,How do advisors help with long-term planning?
Advising Process,Do advisors help with non-academic issues too?
