Category,Sample Question
Course Planning,Can I take classes out of sequence if I feel ready?
Course Planning,How do I know if a course is offered every semester?
Course Planning,Can I audit a class without receiving credit?
Course Planning,What’s the difference between credit and no-credit grading?
Course Planning,What’s the deadline to add or swap a class after the semester starts?
Course Planning,What is a capstone course and when should I take it?
Course Planning,Do any of my required classes have group projects?
Course Planning,Can I take classes at another Penn State campus?
Course Planning,What happens if I miss the registration window?
Course Planning,Can I register for a class that overlaps with another by a few minutes?
Course Planning,Is it okay to take asynchronous and synchronous classes together?
Course Planning,What’s the best mix of gen eds and major classes each semester?
Course Planning,Can I take courses pass/fail if I don’t need them for my major?
Course Planning,What’s a recitation section and do I have to attend it?
Course Planning,Can I substitute one course for another if they’re similar?
Course Planning,How do I know if a course satisfies multiple requirements?
Course Planning,Can I take a class outside my college or department?
Course Planning,Are hybrid courses a good choice for first-years?
Course Planning,How do I choose between different sections of the same class?
Course Planning,Is there a recommended order to take my core classes?
Course Planning,What happens if I take two gen eds that cover similar topics?
Course Planning,Are there any registration holds I should check before enrolling?
Course Planning,Can I register for more than 18 credits?
Course Planning,How do I request a course override or prerequisite waiver?
Course Planning,What should I do if I want to repeat a class for a better grade?
Course Planning,Is it possible to take summer courses at another university?
Course Planning,Can I test out of any courses using AP or CLEP credits?
Course Planning,Do classes from World Campus count the same as in-person ones?
Course Planning,What does “waitlist” mean and how likely am I to get into the class?
Course Planning,What’s the deadline to drop a course without it appearing on my transcript?
Course Planning,How do I know which classes fulfill my major requirements versus electives?
Course Planning,Can I take a 500-level course as an undergraduate if I have permission?
Course Planning,"Is it possible to audit a class, and how do I sign up for that?"
Course Planning,How do I add a lab section after I’ve already registered for the lecture?
Course Planning,What’s the procedure for petitioning an overload beyond 18 credits?
Course Planning,Are there any GPA requirements to enroll in honors-designated courses?
Course Planning,How can I see which courses have waitlists and what my position is?
Course Planning,What forms do I need to submit to request an incomplete grade?
Course Planning,When do prerequisites automatically clear versus needing an advisor override?
Course Planning,How do I register for a cross-listed course in two different departments?
Course Planning,Can I enroll in summer sessions to catch up on missed credits?
Course Planning,What steps do I follow to arrange a directed-study or independent inquiry course?
Course Planning,How can I check if a course transfer will count toward my Penn State degree audit?
Course Planning,Where do I find the updated list of courses offered next semester for my major?
Course Planning,How do I request permission to enroll after the add/drop deadline has passed?
Course Planning,What’s the process for switching from pass/fail to a letter grade?
Course Planning,Can I block-register for next semester’s courses now or do I need department approval?
Course Planning,How do I find out if a course has synchronous versus asynchronous sections?
Course Planning,What are the steps to petition for retroactive credit for an independent study?
Course Planning,Can I take graduate-level electives as an undergrad?
General Academics,How do I get an unofficial transcript?
General Academics,How do I calculate my GPA manually?
General Academics,What is FERPA and how does it affect my academic records?
General Academics,Can I appeal an academic policy or decision?
General Academics,Are there writing-intensive courses required for graduation?
General Academics,How do I qualify for the Dean’s List?
General Academics,What is the process to declare academic forgiveness?
General Academics,How do I find out who my academic advisor is?
General Academics,What happens if I miss a final exam?
General Academics,How do I find courses taught by a specific professor?
General Academics,What happens if I have a time conflict during finals?
